date  bdrm  price unit  area
2026-09-11 0 1126 1-524 565
2026-09-03 1 1305 1-429 770
2026-09-03 1 1227 1-129 780
2026-09-03 1 1280 1-110 790
2026-09-23 1 1311 1-307 780
2026-10-01 1 1277 1-111 780
2026-10-01 1 1301 1-203 780
2026-10-05 1 1363 1-106 790
2026-10-12 1 1357 1-109 780
2026-09-03 2 1393 3-201 730
2026-09-03 2 1323 3-405 730
2026-09-03 2 1373 6-102 730
2026-09-03 2 1363 6-304 730
2026-09-03 2 1420 7-201 905
2026-09-04 2 1790 3-306 905
2026-09-11 2 1403 4-202 730
2026-09-13 2 1413 6-303 730
2026-09-29 2 1849 5-101 905
