date  bdrm  price unit  area
2026-05-22 0 1048 1-414 565
2026-05-17 1 1332 1-315 765
2026-05-17 1 1338 1-517 765
2026-05-17 1 1244 1-325 780
2026-05-17 1 1225 1-107 780
2026-05-17 1 1205 1-205 780
2026-05-17 1 1234 1-211 780
2026-05-17 1 1288 1-409 780
2026-05-18 1 1244 1-303 780
2026-05-30 1 1314 1-132 790
2026-06-02 1 1338 1-408 780
2026-06-03 1 1294 1-311 780
2026-06-05 1 1192 5-203 730
2026-06-05 1 1314 1-511 780
2026-06-15 1 1255 1-322 745
2026-07-22 1 1279 1-306 780
2026-08-28 1 1289 1-430 780
2026-05-17 2 1285 2-403 730
2026-05-17 2 1275 3-305 730
2026-05-17 2 1241 6-204 730
2026-05-17 2 1256 7-203 730
2026-05-18 2 1426 2-201 905
2026-06-13 2 1325 2-304 730
2026-06-22 2 1262 3-102 730
2026-06-22 2 1228 4-305 730
2026-06-24 2 1242 3-204 730
2026-07-05 2 1311 3-402 730
