date  bdrm  price unit  area
2026-12-22 0 1107 1-113 565
2026-09-20 1 1321 1-429 770
2026-09-20 1 1241 1-129 780
2026-09-20 1 1271 1-430 780
2026-10-01 1 1291 1-111 780
2026-10-05 1 1346 1-106 790
2026-10-12 1 1341 1-109 780
2026-10-15 1 1346 1-526 780
2026-09-20 2 1382 2-304 730
2026-09-20 2 1387 3-201 730
2026-09-20 2 1317 3-405 730
2026-09-20 2 1347 4-202 730
2026-09-20 2 1367 6-102 730
2026-09-20 2 1357 6-303 730
2026-09-20 2 1357 6-304 730
2026-09-20 2 1416 7-201 905
2026-09-29 2 1842 5-101 905
2026-10-08 2 1347 2-202 730
2026-10-18 2 1362 3-202 730
